Seq.;Área;Nivel1;Nivel2;Nivel3;Nivel4;Nivel5;Nivel6;CDD;Descrição;;
276;341;;;;;;;341.12245;Lagos;;
277;341;;;;;;;341.1225;Alto mar. Mar livre;;
278;341;;;;;;;341.12251;Regulamento de jurisdição do alto mar. Tutela e vigilância do comércio marítimo. Direito marítimo. Direito marítimo público;;
279;341;;;;;;;341.12252;Mares parcialmente fechados. Estreitos e canais;;
280;341;;;;;;;341.1226;Espaço aéreo. Direito aéreo internacional;;
281;341;;;;;;;341.1227;Interior da terra. Túneis submarinos;;
282;341;;;;;;;341.1228;Regiões polares;;
283;341;;;;;;;341.123;Direitos e deveres essenciais e recíprocos dos Estados;;
284;341;;;;;;;341.1231;Autonomia e independência. Autodeterminação;;
285;341;;;;;;;341.12311;Declaração dos direitos e deveres dos Estados;;
286;341;;;;;;;341.12312;Restrições de fato ou de direito. Servidões internacionais;;
287;341;;;;;;;341.1233;Direito de intervenção;;
288;341;;;;;;;341.1234;Direito das minorias;;
289;341;;;;;;;341.1236;Responsabilidade dos Estados pelos atos de seus funcionários ou cidadãos;;
290;341;;;;;;;341.1237;Apoio dos Estados dado às reclamações individuais de sua competência, contra Estados estrangeiros ou seus cidadãos;;
291;341;;;;;;;341.124;Tratados internacionais (Convenções, acordos);;
292;341;;;;;;;341.1241;Divisões e classificações dos tratados. Diversas espécies de tratados: de aliança, de assistência mútua e de garantia;;
293;341;;;;;;;341.1242;Conclusão dos tratados. Assinatura. Ratificação, registro. Publicidade;;
294;341;;;;;;;341.1243;Garantia dos tratados;;
295;341;;;;;;;341.1244;Efeitos e execução dos tratados;;
296;341;;;;;;;341.1245;Extinção, fim dos tratados;;
13;341;;;;;;;341.13;Direito de Guerra. Leis de Guerra;;
297;341;;;;;;;341.13;Direito de Guerra. Leis de Guerra;;
298;341;;;;;;;341.131;Estado de guerra ou beligerância. Declaração de guerra. Ultimatum;;
299;341;;;;;;;341.132;Condução e direção da guerra;;
300;341;;;;;;;341.1321;Beligerantes e pessoas implicadas na guerra. Forças armadas. Nãocombatentes. Correspondentes de guerra;;
301;341;;;;;;;341.1322;Meios lícitos e ilícitos de prejudicar os inimigos. Formas diversas de hostilidade;;
302;341;;;;;;;341.1323;Cerco, bombardeio, bloqueio terrestre e marítimo;;
303;341;;;;;;;341.1324;Ocupação, administração dos territórios ocupados, exploração de seus recursos e relações de toda a natureza com os seus habitantes;;
304;341;;;;;;;341.1325;Parlamentares;;
305;341;;;;;;;341.1326;Guias, espiões, desertores;;
306;341;;;;;;;341.133;Feridos e doentes militares. Convenção de Genebra (Cruz Vermelha). Navioshospitais;;
307;341;;;;;;;341.134;Prisioneiros de guerra. Reféns;;
308;341;;;;;;;341.1345;Internamento dos militares pelos neutros;;
309;341;;;;;;;341.135;Neutros durante a guerra;;
310;341;;;;;;;341.1351;Deveres dos Estados neutros;;
311;341;;;;;;;341.1352;Direitos dos Estados neutros;;
312;341;;;;;;;341.1355;Comércio dos Estados neutros. Contrabando de guerra. Direito de visita;;
